title,artist,gen,feeling,,,,
"Hey, Soul Sister",Train,neo mellow,Joyful,,,,
Love The Way You Lie,Eminem,hip hop,Rage,,,,
TiK ToK,Kesha,dance pop,Joyful,,,,
Bad Romance,Lady Gaga,dance pop,Rage,,,,
When I Was Your Man,Bruno Mars,pop,Nostalgia,,,,
Baby,Justin Bieber,pop,Joyful,,,,
Dynamite,Taio Cruz,dance pop,Joyful,,,,
Secrets,OneRepublic,dance pop,Overcoming Fear,,,,
Empire State of Mind (Part II) Broken Down,Alicia Keys,hip hop,Optimism,,,,
Only Girl (In The World),Rihanna,pop,Euforia,,,,
Club Can't Handle Me (feat. David Guetta),Flo Rida,dance pop,Joyful,,,,
Marry You,Bruno Mars,pop,Optimism,,,,
Cooler Than Me - Single Mix,Mike Posner,dance pop,Rage,,,,
Telephone,Lady Gaga,dance pop,Optimism,,,,
Like A G6,Far East Movement,dance pop,Euforia,,,,
OMG (feat. will.i.am),Usher,hip hop,Euforia,,,,
Eenie Meenie,Sean Kingston,dance pop,Joyful,,,,
The Time (Dirty Bit),The Black Eyed Peas,dance pop,Joyful,,,,
Alejandro,Lady Gaga,dance pop,Nostalgia,,,,
Your Love Is My Drug,Kesha,dance pop,Euforia,,,,
Meet Me Halfway,The Black Eyed Peas,dance pop,Optimism,,,,
Whataya Want from Me,Adam Lambert,pop,Overcoming Fear,,,,
Take It Off,Kesha,dance pop,Joyful,,,,
Misery,Maroon 5,pop,Defeat,,,,
All The Right Moves,OneRepublic,dance pop,Overcoming Fear,,,,
Animal,Neon Trees,indie pop,Euforia,,,,
Naturally,Selena Gomez & The Scene,dance pop,Optimism,,,,
I Like It,Enrique Iglesias,dance pop,Joyful,,,,
Teenage Dream,Katy Perry,dance pop,Joyful,,,,
California Gurls,Katy Perry,dance pop,Joyful,,,,
3,Britney Spears,dance pop,Euforia,,,,
My First Kiss - feat. Ke$ha,3OH!3,dance pop,Euforia,,,,
Blah Blah Blah (feat. 3OH!3),Kesha,dance pop,Defeat,,,,
Imma Be,The Black Eyed Peas,dance pop,Optimism,,,,
Try Sleeping with a Broken Heart,Alicia Keys,hip hop,Nostalgia,,,,
Sexy Bitch (feat. Akon),David Guetta,dance pop,Euforia,,,,
Bound To You - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop,Nostalgia,,,,
If I Had You,Adam Lambert,pop,Euforia,,,,
Rock That Body,The Black Eyed Peas,dance pop,Joyful,,,,
Dog Days Are Over,Florence + The Machine,pop,Optimism,,,,
Something's Got A Hold On Me - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop,Euforia,,,,
Doesn't Mean Anything,Alicia Keys,hip hop,Nostalgia,,,,
Hard,Rihanna,pop,Optimism,,,,
Loca,Shakira,pop,Joyful,,,,
You Lost Me,Christina Aguilera,dance pop,Nostalgia,,,,
Not Myself Tonight,Christina Aguilera,dance pop,Euforia,,,,
Written in the Stars (feat. Eric Turner),Tinie Tempah,dance pop,Optimism,,,,
DJ Got Us Fallin' In Love (feat. Pitbull),Usher,hip hop,Joyful,,,,
Castle Walls (feat. Christina Aguilera),T.I.,hip hop,Nostalgia,,,,
Break Your Heart,Taio Cruz,dance pop,Optimism,,,,
Hello,Martin Solveig,electro house,Joyful,,,,
A Thousand Years,Christina Perri,dance pop,Nostalgia,,,,
Someone Like You,Adele,soul,Nostalgia,,,,
Give Me Everything,Pitbull,dance pop,Joyful,,,,
Just the Way You Are,Bruno Mars,pop,Joyful,,,,
Rolling in the Deep,Adele,soul,Nostalgia,,,,
Run the World (Girls),Beyonce,dance pop,Joyful,,,,
Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5,pop,Joyful,,,,
Love On Top,Beyonce,dance pop,Optimism,,,,
Grenade,Bruno Mars,pop,Nostalgia,,,,
Tonight Tonight,Hot Chelle Rae,dance pop,Euforia,,,,
What the Hell,Avril Lavigne,pop,Optimism,,,,
Born This Way,Lady Gaga,dance pop,Joyful,,,,
Monster,Kanye West,rap,Joyful,,,,
Marry You,Bruno Mars,pop,Optimism,,,,
Guiding Lights,"Earth, Wind, and Fire",funk,Optimism,,,,
Party Rock Anthem,LMFAO,dance pop,Euforia,,,,
Can´t Stop,Red Hot Chilli Peppers,funk,Rage,,,,
Price Tag,Jessie J,pop,Joyful,,,,
Redbone,Childish Gambino,funk,Overcoming Fear,,,,
Just Can't Get Enough,The Black Eyed Peas,dance pop,Joyful,,,,
On The Floor,Jennifer Lopez,dance pop,Joyful,,,,
Inertia,Mac Miller,hip hop,Rage,,,,
Lost Ones,J. Cole,hip hop,Defeat,,,,
Without You (feat. Usher),David Guetta,dance pop,Joyful,,,,
Sexy And I Know It,LMFAO,dance pop,Joyful,,,,
The Edge Of Glory,Lady Gaga,dance pop,Optimism,,,,
Stronger,Kanye West,hip hop,Optimism,,,,
Bulls on Parade,Rage Against The Machine,rock,Rage,,,,
Self Care,Mac Miller,hip hop,Chill,,,,
Blow,Kesha,dance pop,Joyful,,,,
Fake Plastic Trees,Radiohead,indie pop,Defeat,,,,
Judas,Lady Gaga,dance pop,Defeat,,,,
No One Knows,Queens of the Stone Age,indie,Rage,,,,
Bodies,Drowning Pool,rock,Rage,,,,
We Found Love,Rihanna,pop,Joyful,,,,
Da Tweekaz,Wodka,hardstyle,Joyful,,,,
Frontliner,Symbols,hardstyle,Joyful,,,,
Atmosfearz,Release,hardstyle,Euforia,,,,
Are You Gonna Be My Girl,Jet,rock,Euforia,,,,
Wildstylez,Timeless,hardstyle,Euforia,,,,
Best of You,Foo Fighters,rock,Optimism,,,,
Not Afraid,Eminem,hip hop,Overcoming Fear,,,,
Mask Off,Future,hip hop,Euforia,,,,
Jar of Hearts,Christina Perri,dance pop,Nostalgia,,,,
Castle Walls (feat. Christina Aguilera),T.I.,hip hop,Defeat,,,,
Everlong,Foo Fighters,rock,Chill,,,,
Super Bass,Nicki Minaj,dance pop,Joyful,,,,
Raise Your Glass,P!nk,dance pop,Joyful,,,,
Under the Bridge,Red Hot Chilli Peppers,rock,Nostalgia,,,,
Moment 4 Life - Album Version (ft. Drake),Nicki Minaj,dance pop,Optimism,,,,
Last Friday Night (T.G.I.F.),Katy Perry,dance pop,Joyful,,,,
Firework,Katy Perry,dance pop,Joyful,,,,
Muny - Album Version (Edited),Nicki Minaj,dance pop,Joyful,,,,
Titanium (feat. Sia),David Guetta,dance pop,Joyful,,,,
Locked Out of Heaven,Bruno Mars,pop,Joyful,,,,
Adventure of a Lifetime,Coldplay,rock,Joyful,,,,
Payphone,Maroon 5,pop,Nostalgia,,,,
What Makes You Beautiful,One Direction,pop,Joyful,,,,
I Knew You Were Trouble.,Taylor Swift,pop,Defeat,,,,
Call Me Maybe,Carly Rae Jepsen,pop,Joyful,,,,
Love You Like A Love Song,Selena Gomez & The Scene,dance pop,Chill,,,,
Set Fire to the Rain,Adele,soul,Rage,,,,
Willow,Taylor Swift,pop,Joyful,,,,
Paper Rings,Taylor Swift,pop,Joyful,,,,
Try,P!nk,dance pop,Optimism,,,,
Starships,Nicki Minaj,dance pop,Joyful,,,,
One More Night,Maroon 5,pop,Rage,,,,
Good Time,Owl City,pop,Joyful,,,,
Glad You Came,The Wanted,pop,Joyful,,,,
Beauty And A Beat,Justin Bieber,pop,Joyful,,,,
International Love,Pitbull,dance pop,Joyful,,,,
Thinkin Bout You,Frank Ocean,hip hop,Chill,,,,
Boyfriend,Justin Bieber,pop,Joyful,,,,
