title,artist,gen,Feeling
"Hey, Soul Sister",Train,pop,Mellow
Love The Way You Lie,Eminem,hip hop,Rage
TiK ToK,Kesha,dance pop,Joyful
Bad Romance,Lady Gaga,dance pop,Rage
Just the Way You Are,Bruno Mars,pop,Sad
Baby,Justin Bieber,pop,Sad
Dynamite,Taio Cruz,dance pop,Joyful
Secrets,OneRepublic,dance pop,Rage
Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop,Joyful
Only Girl (In The World),Rihanna,pop,Rage
Club Can't Handle Me (feat. David Guetta),Flo Rida,dance pop,Joyful
Marry You,Bruno Mars,pop,mellow
Cooler Than Me - Single Mix,Mike Posner,dance pop,Disgust
Telephone,Lady Gaga,dance pop,Rage
Like A G6,Far East Movement,dance pop,Joyful
OMG (feat. will.i.am),Usher,hip hop,Joyful
Eenie Meenie,Sean Kingston,dance pop,Disgust
The Time (Dirty Bit),The Black Eyed Peas,dance pop,Joyful
Alejandro,Lady Gaga,dance pop,Joyful
Your Love Is My Drug,Kesha,dance pop,Disgust
Meet Me Halfway,The Black Eyed Peas,dance pop,Sad
Whataya Want from Me,Adam Lambert,pop,Disgust
Take It Off,Kesha,dance pop,Joyful
Misery,Maroon 5,pop,Disgust
All The Right Moves,OneRepublic,dance pop,Joyful
Animal,Neon Trees,indie pop,Rage
Naturally,Selena Gomez & The Scene,dance pop,mellow
I Like It,Enrique Iglesias,dance pop,Joyful
Teenage Dream,Katy Perry,dance pop,Sad
California Gurls,Katy Perry,dance pop,Joyful
3,Britney Spears,dance pop,Joyful
My First Kiss - feat. Ke$ha,3OH!3,dance pop,Joyful
Blah Blah Blah (feat. 3OH!3),Kesha,dance pop,Disgust
Imma Be,The Black Eyed Peas,dance pop,Joyful
Try Sleeping with a Broken Heart,Alicia Keys,hip pop,Sad
Sexy Bitch (feat. Akon),David Guetta,dance pop,Joyful
Bound To You - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop,
If I Had You,Adam Lambert,pop,Sad
Rock That Body,The Black Eyed Peas,dance pop,Joyful
Dog Days Are Over,Florence + The Machine,pop,Sad
Something's Got A Hold On Me - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop,Joyful
Doesn't Mean Anything,Alicia Keys,hip pop,Sad
Hard,Rihanna,pop,Rage
Loca,Shakira,pop,Joyful
You Lost Me,Christina Aguilera,dance pop,Sad
Not Myself Tonight,Christina Aguilera,dance pop,Sad
Written in the Stars (feat. Eric Turner),Tinie Tempah,dance pop,Joyful
DJ Got Us Fallin' In Love (feat. Pitbull),Usher,hip hop,Joyful
Castle Walls (feat. Christina Aguilera),T.I.,hip hop,
Break Your Heart,Taio Cruz,dance pop,Sad
Hello,Martin Solveig,electro house,Joyful
A Thousand Years,Christina Perri,dance pop,Sad
Someone Like You,Adele,soul,Sad
Give Me Everything,Pitbull,dance pop,Joyful
Just the Way You Are,Bruno Mars,pop,Sad
Rolling in the Deep,Adele,soul,Rage
